No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
20   48:15.602      2:47:06.564    2:47:18.189    11.625     11.625     Paused by player, Unpause by player
21   48:16.352      2:47:18.943    2:47:20.161    1.218      1.218      Paused by player, Unpause by player
22   48:34.852      2:47:38.643    2:47:48.352    9.709      9.709      Paused by player, Unpause by player
23   48:40.602      2:47:54.113    2:48:19.100    24.987     24.987     Paused by player, Unpause by player
24   48:52.052      2:48:30.527    2:48:31.608    1.081      1.081      Paused by player, Unpause by player
25   49:04.952      2:48:44.512    2:48:47.311    2.799      2.799      Paused by player, Unpause by player
26   49:11.702      2:48:54.063    2:48:56.909    2.846      2.846      Paused by player, Unpause by player
27   49:12.202      2:48:57.406    2:49:01.295    3.889      3.889      Paused by player, Unpause by player
28   49:18.552      2:49:07.607    2:49:13.415    5.808      5.808      Paused by player, Unpause by player
29   50:08.452      2:50:03.316    2:50:07.896    4.580      4.580      Paused by player, Unpause by player
30   50:08.902      2:50:08.317    2:50:10.726    2.409      2.409      Paused by player, Unpause by player
31   50:13.502      2:50:15.284    2:50:29.344    14.060     14.060     Paused by player, Unpause by player
32   50:25.902      2:50:41.743    2:50:43.311    1.568      1.568      Paused by player, Unpause by player
33   50:40.752      2:50:58.153    2:52:28.740    90.587     90.587     Paused by player, Unpause by player
34   50:44.152      2:52:32.134    2:52:48.465    16.331     16.331     Paused by player, Unpause by player
35   50:55.902      2:53:00.201    2:53:09.250    9.049      9.049      Paused by player, Unpause by player
36   51:00.202      2:53:13.510    2:53:17.424    3.914      3.914      Paused by player, Unpause by player
37   51:05.652      2:53:22.900    2:54:27.886    64.986     64.986     Paused by player, Unpause by player
38   51:08.802      2:54:30.994    2:54:33.148    2.154      2.154      Paused by player, Unpause by player
39   51:10.152      2:54:34.469    2:54:35.113    0.644      0.644      Paused by player, Unpause by player
40   51:11.002      2:54:35.937    2:54:36.835    0.898      0.898      Paused by player, Unpause by player
41   51:11.502      2:54:37.306    2:54:44.828    7.522      7.522      Paused by player, Unpause by player
42   51:12.152      2:54:45.481    2:54:49.603    4.122      4.122      Paused by player, Unpause by player
43   51:12.602      2:54:50.028    2:54:53.837    3.809      3.809      Paused by player, Unpause by player
44   52:28.002      2:56:09.225    2:56:09.526    0.301      0.301      Paused by player, Unpause by player
45   52:44.402      2:56:25.921    2:56:54.469    28.548     28.548     Paused by player, Unpause by player
46   52:45.802      2:56:55.878    2:57:57.444    61.566     61.566     Paused by player, Unpause by player
47   53:24.252      2:58:35.874    2:58:36.793    0.919      0.919      Paused by player, Unpause by player
48   53:33.352      2:58:45.914    2:59:38.084    52.170     52.170     Paused by player, Unpause by player
49   53:51.852      2:59:56.598    2:59:57.102    0.504      0.504      Paused by player, Unpause by player
50   53:58.552      3:00:03.768    3:00:13.549    9.781      9.781      Paused by player, Unpause by player
51   54:03.902      3:00:18.882    3:00:19.358    0.476      0.476      Paused by player, Unpause by player
52   54:45.652      3:01:01.077    3:01:14.764    13.687     13.687     Paused by player, Unpause by player
53   54:53.302      3:01:22.431    3:01:24.007    1.576      1.576      Paused by player, Unpause by player
54   55:28.702      3:01:59.399    3:02:01.130    1.731      1.731      Paused by player, Unpause by player
55   55:30.252      3:02:02.639    3:02:04.343    1.704      1.704      Paused by player, Unpause by player
56   55:30.952      3:02:05.043    3:02:06.135    1.092      1.092      Paused by player, Unpause by player
57   55:31.502      3:02:06.640    3:02:07.194    0.554      0.554      Paused by player, Unpause by player
58   55:31.952      3:02:07.657    3:03:28.148    80.491     80.491     Paused by player, Unpause by player
59   55:45.652      3:03:41.835    3:03:43.508    1.673      1.673      Paused by player, Unpause by player
60   56:06.552      3:04:04.403    3:04:11.096    6.693      6.693      Paused by player, Unpause by player
61   57:15.052      3:05:19.610    3:05:53.334    33.724     33.724     Paused by player, Unpause by player
62   57:50.802      3:06:29.075    3:06:32.386    3.311      3.311      Paused by player, Unpause by player
63   59:50.252      3:08:31.801    3:08:34.937    3.136      3.136      Paused by player, Unpause by player
64   59:58.002      3:08:42.665    3:08:43.464    0.799      0.799      Paused by player, Unpause by player
65   59:58.552      3:08:44.003    3:08:45.346    1.343      1.343      Paused by player, Unpause by player
66   59:59.452      3:08:46.237    3:08:46.823    0.586      0.586      Paused by player, Unpause by player
67   1:00:00.352    3:08:47.723    3:08:48.816    1.093      1.093      Paused by player, Unpause by player
68   1:00:01.352    3:08:49.819    3:08:54.290    4.471      4.471      Paused by player, Unpause by player
69   1:00:01.802    3:08:54.722    3:08:56.135    1.413      1.413      Paused by player, Unpause by player
70   1:00:04.252    3:08:58.550    3:08:59.798    1.248      1.248      Paused by player, Unpause by player
71   1:00:05.052    3:09:00.560    3:09:02.157    1.597      1.597      Paused by player, Unpause by player
72   1:00:06.052    3:09:03.122    3:09:04.699    1.577      1.577      Paused by player, Unpause by player
73   1:00:09.252    3:09:07.892    3:09:09.528    1.636      1.636      Paused by player, Unpause by player
74   1:00:09.602    3:09:09.878    3:09:10.768    0.890      0.890      Paused by player, Unpause by player
75   1:00:10.052    3:09:11.187    3:09:13.113    1.926      1.926      Paused by player, Unpause by player
76   1:00:11.752    3:09:14.792    3:09:16.272    1.480      1.480      Paused by player, Unpause by player
