Tick 13555(13516), Delay 55 ms, IGT 11:15.255, RTA 1:26:49.120-1:26:49.175
Tick 13569(13529), Delay 69 ms, IGT 11:15.905, RTA 1:26:49.823-1:26:49.892, due world load
Tick 13572(13530), Delay 130 ms, IGT 11:15.915, RTA 1:26:49.993-1:26:50.123, due world load
Tick 13573(13530), Delay 1 ms, IGT 11:15.915, RTA 1:26:50.123-1:26:50.124, due world load
Tick 13574(13531), Delay 28 ms, IGT 11:15.962, RTA 1:26:50.124-1:26:50.152
Tick 13575(13532), Delay 56 ms, IGT 11:16.012, RTA 1:26:50.152-1:26:50.208
Tick 13577(13534), Delay 42 ms, IGT 11:16.112, RTA 1:26:50.255-1:26:50.297
Tick 13624(13581), Delay 45 ms, IGT 11:18.462, RTA 1:26:52.600-1:26:52.645
Tick 13692(13648), Delay 1432 ms, IGT 11:21.812, RTA 1:26:55.998-1:26:57.430
Tick 13693(13648), Delay 13216 ms, IGT 11:21.812, RTA 1:26:57.430-1:27:10.646
Tick 13694(13649), Delay 79 ms, IGT 11:21.827, RTA 1:27:10.646-1:27:10.725
Tick 13695(13650), Delay 19 ms, IGT 11:21.877, RTA 1:27:10.725-1:27:10.744
Tick 13700(13655), Delay 56 ms, IGT 11:22.127, RTA 1:27:10.942-1:27:10.998
Tick 13702(13657), Delay 45 ms, IGT 11:22.227, RTA 1:27:11.050-1:27:11.095
Tick 13705(13660), Delay 81 ms, IGT 11:22.377, RTA 1:27:11.191-1:27:11.272
Tick 13706(13661), Delay 21 ms, IGT 11:22.427, RTA 1:27:11.272-1:27:11.293
Tick 13710(13665), Delay 75 ms, IGT 11:22.583, RTA 1:27:11.442-1:27:11.517
Tick 13714(13668), Delay 95 ms, IGT 11:22.733, RTA 1:27:11.666-1:27:11.761, due world load
Tick 13715(13669), Delay 42 ms, IGT 11:22.781, RTA 1:27:11.761-1:27:11.803
Tick 13827(13780), Delay 446 ms, IGT 11:28.331, RTA 1:27:17.348-1:27:17.794
Tick 13828(13780), Delay 194992 ms, IGT 11:28.331, RTA 1:27:17.794-1:30:32.786
Tick 13829(13781), Delay 91 ms, IGT 11:28.335, RTA 1:30:32.786-1:30:32.877
Tick 13830(13782), Delay 1 ms, IGT 11:28.385, RTA 1:30:32.877-1:30:32.878
Tick 13831(13783), Delay 39 ms, IGT 11:28.435, RTA 1:30:32.878-1:30:32.917
Tick 13832(13784), Delay 45 ms, IGT 11:28.485, RTA 1:30:32.917-1:30:32.962
Tick 13839(13791), Delay 55 ms, IGT 11:28.835, RTA 1:30:33.260-1:30:33.315
Tick 13849(13801), Delay 55 ms, IGT 11:29.335, RTA 1:30:33.761-1:30:33.816
Tick 13866(13817), Delay 33 ms, IGT 11:30.135, RTA 1:30:34.610-1:30:34.643, due world load
Tick 13867(13817), Delay 45 ms, IGT 11:30.135, RTA 1:30:34.643-1:30:34.688, due world load
Tick 13886(13834), Delay 3924 ms, IGT 11:30.978, RTA 1:30:35.590-1:30:39.514
Tick 13942(13890), Delay 59 ms, IGT 11:33.778, RTA 1:30:42.264-1:30:42.323
Tick 13943(13891), Delay 41 ms, IGT 11:33.828, RTA 1:30:42.323-1:30:42.364
Tick 13965(13912), Delay 141 ms, IGT 11:34.878, RTA 1:30:43.414-1:30:43.555, due world load
Tick 13966(13912), Delay 1 ms, IGT 11:34.878, RTA 1:30:43.555-1:30:43.556, due world load
Tick 13967(13912), Delay 15 ms, IGT 11:34.878, RTA 1:30:43.556-1:30:43.571, due world load
Tick 13968(13913), Delay 36 ms, IGT 11:34.923, RTA 1:30:43.571-1:30:43.607
Tick 14086(14031), Delay 44 ms, IGT 11:40.823, RTA 1:30:49.462-1:30:49.506
Tick 14104(14049), Delay 45 ms, IGT 11:41.723, RTA 1:30:50.359-1:30:50.404
Tick 14156(14101), Delay 56 ms, IGT 11:44.323, RTA 1:30:52.956-1:30:53.012
Tick 14157(14102), Delay 43 ms, IGT 11:44.373, RTA 1:30:53.012-1:30:53.055
Tick 14164(14109), Delay 44 ms, IGT 11:44.723, RTA 1:30:53.363-1:30:53.407
Tick 14184(14129), Delay 55 ms, IGT 11:45.723, RTA 1:30:54.355-1:30:54.410
Tick 14186(14131), Delay 42 ms, IGT 11:45.778, RTA 1:30:54.458-1:30:54.500
Tick 14187(14132), Delay 20 ms, IGT 11:45.828, RTA 1:30:54.500-1:30:54.520
Tick 14188(14133), Delay 60 ms, IGT 11:45.878, RTA 1:30:54.520-1:30:54.580
Tick 14189(14134), Delay 43 ms, IGT 11:45.928, RTA 1:30:54.580-1:30:54.623
Tick 14199(14144), Delay 12303 ms, IGT 11:46.428, RTA 1:30:55.072-1:31:07.375
Tick 14200(14144), Delay 143 ms, IGT 11:46.428, RTA 1:31:07.375-1:31:07.518, due world load
Tick 14201(14144), Delay 1 ms, IGT 11:46.428, RTA 1:31:07.518-1:31:07.519, due world load
Tick 14202(14145), Delay 18 ms, IGT 11:46.445, RTA 1:31:07.519-1:31:07.537
Tick 14203(14146), Delay 33 ms, IGT 11:46.495, RTA 1:31:07.537-1:31:07.570
Tick 14250(14192), Delay 77 ms, IGT 11:48.795, RTA 1:31:09.870-1:31:09.947, due world load
Tick 14251(14192), Delay 24 ms, IGT 11:48.795, RTA 1:31:09.947-1:31:09.971, due world load
Tick 14252(14192), Delay 112 ms, IGT 11:48.784, RTA 1:31:09.971-1:31:10.083, due world load
Tick 14253(14192), Delay 1 ms, IGT 11:48.784, RTA 1:31:10.083-1:31:10.084, due world load
Tick 14254(14193), Delay 67 ms, IGT 11:48.832, RTA 1:31:10.084-1:31:10.151
Tick 14255(14194), Delay 20 ms, IGT 11:48.882, RTA 1:31:10.151-1:31:10.171
Tick 14355(14294), Delay 55 ms, IGT 11:53.882, RTA 1:31:15.122-1:31:15.177
Tick 14393(14331), Delay 76 ms, IGT 11:55.732, RTA 1:31:17.022-1:31:17.098, due world load
Tick 14394(14331), Delay 21 ms, IGT 11:55.732, RTA 1:31:17.098-1:31:17.119, due world load
Tick 14396(14331), Delay 126 ms, IGT 11:55.719, RTA 1:31:17.169-1:31:17.295, due world load
Tick 14397(14331), Delay 0 ms, IGT 11:55.719, RTA 1:31:17.295-1:31:17.295, due world load
Tick 14398(14332), Delay 71 ms, IGT 11:55.766, RTA 1:31:17.295-1:31:17.366
Tick 14399(14333), Delay 19 ms, IGT 11:55.816, RTA 1:31:17.366-1:31:17.385
Tick 14400(14334), Delay 44 ms, IGT 11:55.866, RTA 1:31:17.385-1:31:17.429
Tick 14412(14345), Delay 3559 ms, IGT 11:56.416, RTA 1:31:17.978-1:31:21.537
Tick 14413(14345), Delay 67502 ms, IGT 11:56.416, RTA 1:31:21.537-1:32:29.039
Tick 14414(14345), Delay 81 ms, IGT 11:56.416, RTA 1:32:29.039-1:32:29.120, due world load
Tick 14415(14345), Delay 1 ms, IGT 11:56.416, RTA 1:32:29.120-1:32:29.121, due world load
Tick 14416(14346), Delay 21 ms, IGT 11:56.462, RTA 1:32:29.121-1:32:29.142
Tick 14424(14354), Delay 57 ms, IGT 11:56.862, RTA 1:32:29.490-1:32:29.547
Tick 14425(14355), Delay 45 ms, IGT 11:56.912, RTA 1:32:29.547-1:32:29.592
Tick 14433(14363), Delay 56 ms, IGT 11:57.312, RTA 1:32:29.939-1:32:29.995
Tick 14444(14373), Delay 259 ms, IGT 11:57.812, RTA 1:32:30.489-1:32:30.748
Tick 14445(14373), Delay 3002 ms, IGT 11:57.812, RTA 1:32:30.748-1:32:33.750
